"go_gc_duration_seconds","app","mongodb","A summary of the GC invocation durations.","summary"
"go_goroutines","app","mongodb","Number of goroutines that currently exist.","gauge"
"go_memstats_alloc_bytes","app","mongodb","Number of bytes allocated and still in use.","gauge"
"go_memstats_alloc_bytes_total","app","mongodb","Total number of bytes allocated, even if freed.","counter"
"go_memstats_buck_hash_sys_bytes","app","mongodb","Number of bytes used by the profiling bucket hash table.","gauge"
"go_memstats_frees_total","app","mongodb","Total number of frees.","counter"
"go_memstats_gc_sys_bytes","app","mongodb","Number of bytes used for garbage collection system metadata.","gauge"
"go_memstats_heap_alloc_bytes","app","mongodb","Number of heap bytes allocated and still in use.","gauge"
"go_memstats_heap_idle_bytes","app","mongodb","Number of heap bytes waiting to be used.","gauge"
"go_memstats_heap_inuse_bytes","app","mongodb","Number of heap bytes that are in use.","gauge"
"go_memstats_heap_objects","app","mongodb","Number of allocated objects.","gauge"
"go_memstats_heap_released_bytes_total","app","mongodb","Total number of heap bytes released to OS.","counter"
"go_memstats_heap_sys_bytes","app","mongodb","Number of heap bytes obtained from system.","gauge"
"go_memstats_last_gc_time_seconds","app","mongodb","Number of seconds since 1970 of last garbage collection.","gauge"
"go_memstats_lookups_total","app","mongodb","Total number of pointer lookups.","counter"
"go_memstats_mallocs_total","app","mongodb","Total number of mallocs.","counter"
"go_memstats_mcache_inuse_bytes","app","mongodb","Number of bytes in use by mcache structures.","gauge"
"go_memstats_mcache_sys_bytes","app","mongodb","Number of bytes used for mcache structures obtained from system.","gauge"
"go_memstats_mspan_inuse_bytes","app","mongodb","Number of bytes in use by mspan structures.","gauge"
"go_memstats_mspan_sys_bytes","app","mongodb","Number of bytes used for mspan structures obtained from system.","gauge"
"go_memstats_next_gc_bytes","app","mongodb","Number of heap bytes when next garbage collection will take place.","gauge"
"go_memstats_other_sys_bytes","app","mongodb","Number of bytes used for other system allocations.","gauge"
"go_memstats_stack_inuse_bytes","app","mongodb","Number of bytes in use by the stack allocator.","gauge"
"go_memstats_stack_sys_bytes","app","mongodb","Number of bytes obtained from system for stack allocator.","gauge"
"go_memstats_sys_bytes","app","mongodb","Number of bytes obtained by system. Sum of all system allocations.","gauge"
"http_request_duration_microseconds","app","mongodb","The HTTP request latencies in microseconds.","summary"
"http_request_size_bytes","app","mongodb","The HTTP request sizes in bytes.","summary"
"http_requests_total","app","mongodb","Total number of HTTP requests made.","counter"
"http_response_size_bytes","app","mongodb","The HTTP response sizes in bytes.","summary"
